,feature_idx,cv_scores,avg_score,feature_names,ci_bound,std_dev,std_err
19,"(2, 3, 4, 5, 6, 8, 11, 24, 25, 27, 28, 29, 32, 33, 35, 43, 45, 46, 47)",[0.59880426 0.62188486 0.5988703  0.59104729 0.5852808 ],0.5991775028987121,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam')",0.01600253067288316,0.012450512522065648,0.006225256261032823
15,"(2, 3, 4, 5, 6, 8, 11, 24, 27, 28, 29, 32, 33, 35, 47)",[0.60274823 0.6215433  0.60141168 0.58111231 0.58852848],0.5990687994006547,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'REB19_homeTeam')",0.017787831716722213,0.013839537386716647,0.006919768693358323
17,"(2, 3, 4, 5, 6, 8, 11, 24, 27, 28, 29, 32, 33, 35, 43, 46, 47)",[0.60066116 0.6224154  0.60154808 0.58237272 0.58695901],0.5987912742550533,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'FGper19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam')",0.017982751692934625,0.01399119175028214,0.006995595875141069
18,"(2, 3, 4, 5, 6, 8, 11, 24, 25, 27, 28, 29, 32, 33, 35, 43, 46, 47)",[0.59790474 0.62371054 0.60668896 0.58076993 0.58359242],0.5985333172781241,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'FGper19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam')",0.020237278079324246,0.015745289872564572,0.007872644936282286
20,"(2, 3, 4, 5, 6, 8, 10, 11, 24, 25, 27, 28, 29, 32, 33, 35, 43, 45, 46, 47)",[0.60227922 0.62317771 0.5998627  0.58400643 0.58272767],0.5984107464163653,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam')",0.018924079579120165,0.014723576825736651,0.007361788412868325
22,"(2, 3, 4, 5, 6, 8, 10, 11, 24, 25, 27, 28, 29, 32, 33, 35, 42, 43, 45, 46, 47, 50)",[0.59274192 0.6262746  0.60626669 0.58121168 0.58315665],0.5979303089824884,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'FTper19_awayTeam')",0.021488487922375482,0.01671877363816916,0.00835938681908458
23,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 24, 25, 27, 28, 29, 32, 33, 35, 42, 43, 45, 46, 47, 50)",[0.6000645  0.61854912 0.60039225 0.58105485 0.58513635],0.5970394152417022,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'FTper19_awayTeam')",0.017053727948338544,0.013268379714996358,0.006634189857498179
21,"(2, 3, 4, 5, 6, 8, 10, 11, 24, 25, 27, 28, 29, 32, 33, 35, 43, 45, 46, 47, 50)",[0.59931626 0.61756333 0.60158188 0.58070029 0.58526923],0.5968861984392092,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'FTper19_awayTeam')",0.016782137789462092,0.013057073344580143,0.006528536672290071
24,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 24, 25, 27, 28, 29, 30, 32, 33, 35, 42, 43, 45, 46, 47, 50)",[0.59607815 0.61933736 0.60108114 0.57962705 0.58290555],0.5958058499953954,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'FTper19_awayTeam')",0.018265662113574967,0.014211305668937156,0.007105652834468578
25,"(2, 3, 4, 5, 6, 8, 10, 11, 21, 24, 25, 27, 28, 29, 30, 32, 33, 35, 42, 43, 45, 46, 47, 50, 53)",[0.59227251 0.62326068 0.59691272 0.57878984 0.58152414],0.5945519757100473,"('HOME_TEAM_ID', 'VISITOR_TEAM_ID', 'SEASON', 'TEAM_ID_away', 'ARENACAPACITY_homeTeam', 'CONFERENCE_homeTeam', 'YEARFOUNDED_awayTeam', 'CONFERENCE_awayTeam', 'WEEKEND_GAME', 'HIST_PPG_homeTeam', 'HIST_FGpercent_homeTeam', 'HIST_FG3percent_homeTeam', 'HIST_APG_homeTeam', 'HIST_REB_homeTeam', 'HIST_PPG_awayTeam', 'HIST_FTpercent_awayTeam', 'HIST_FG3percent_awayTeam', 'HIST_REB_awayTeam', 'PPG19_homeTeam', 'FGper19_homeTeam', 'FG3per19_homeTeam', 'APG19_homeTeam', 'REB19_homeTeam', 'FTper19_awayTeam', 'REB19_awayTeam')",0.02034764739680076,0.01583116095116977,0.007915580475584882
